document_id sentence_id sentence
1 12 " इसके साथ ही उन्होंने ऐलान किया कि हाल ही में भाजपा छोड़कर सपा में आए पूर्व मुख्यमंत्री एस. बंगरप्पा अगले विधानसभा चुनाव में पार्टी की ओर से मुख्यमंत्री पद के दावेदार होंगे ।"
1 13 " सम्मेलन की अध्यक्षता कर रहे बंगरप्पा ने कहा कि वह यह सोचकर भाजपा में शामिल हुए थे कि वह उसमें बदलाव लाएंगे , लेकिन वहां जाने के बाद महसूस हुआ कि उन्हें बदला नहीं जा सकता ।"
1 14 " सम्मेलन को सपा महासचिव अमर सिंह तथा सांसद जया बच्चन और जयाप्रदा ने भी संबोधित किया ।"
2 15 " बात गलत हो तो गुस्सा सेलेब्रिटिज को भी आना लाजमी है ।"
2 16 " बृहस्पतिवार को पणज़ी में शुरू हुए ३६वें अंतर्राष्ट्रीय फिल्म महोत्सव के रंग में भंग उस समय पड़ा जब वहां पर तैनात सुरक्षाकर्मियों ने बॉलीवुड की अभिनेत्री बिपाशा बसु के साथ दुव्यर्वहार किया ।"
2 17 " सुरक्षाकर्मियों द्वारा की बदतमीजी के चलते बिपाशा का गुस्सा सातवें आसमान पर जा पहुंचा और पहले तो उन्होंने वहीं पर इन गार्ड्स की खैर खबर ली लेकिन बाद में गुस्से के चलते बिपाशा महोत्सव में बिना भाग लिए वापस लौट गई ।"
2 18 " गौरतलब है कि बिपाशा को ही यहां कार्यक्रम में दीप प्रज्जवलित करना था और उसके बाद पूरे प्रोग्राम में शिरकत करनी थी ।"
2 19 " लेकिन अभिनेत्री के इस कदम से वहां रंग में भंग पड़ गया ।"
2 20 " हालांकि वरिष्ठ अधिकारियों ने पूरे मामले की जांच की बात कही है लेकिन बंगाली बाला के साथ बदतमीजी के चलते अभी गार्ड्स के खिलाफ कोई कार्रवाई नहीं की गई ।"
2 21 " फिल्म महोत्सव में प्रकाश झा की नई फिल्म अपहरण का भी प्रीमियर होना है ।"
2 22 " गंगाजल के बाद झा की यह किसी अलग विषय पर बनी दूसरी फिल्म है ।"
2 23 " इस फिल्म में बिपाशा बसु ने भी बतौर अभिनेत्री काम किया है ।"
2 24 " इस फिल्म में उनके हीरो अजय देवगन बने है ।"
2 25 " चूंकि अपहरण का प्रीमियर यहां पर होना था इसीलिए बिपाशा की उपस्थिति इस समारोह में काफी अहम थी ।"
2 26 " इसके पूर्व पणज़ी में रंगारंग कार्निवाल के ३६वें अंतर्राष्ट्रीय फिल्म समारोह का शुभारंभ बड़े ही धूमधाम से हुआ ।"
2 27 " महोत्सव की सुरक्षा व्यवस्था को लेकर प्रशासन के द्वारा कड़े इंतजाम किए गये हैं और वह किसी भी तरह की कोताही नहीं बरतना चाहता ।"
2 28 " उधर एक अन्य समाचार के अनुसार कार्यक्रम में बदलाव करते हुए देवानंद ने अंतरराष्ट्रीय फिल्म समारोह में अपनी नई फिल्म मिस्टर प्राइम मिनिस्टर का प्रदर्शन नहीं करने का फैसला किया है ।"
2 29 " दरअसल वह इस फिल्म को सबसे पहले प्रधानमंत्री मनमोहन सिंह को दिखाना चाहते हैं ।"
2 30 " देवानंद ने बृहस्पतिवार को एक टीवी चैनल से बातचीत के दौरान बताया कि वह कई कारणों से अपनी नई फिल्म को इस समारोह में शामिल नहीं करना चाहते ।"
2 31 " वह पहले अपने प्रधानमंत्री को यह फिल्म दिखाना चाहते हैं ।"
2 32 " देवानंद ने बताया कि उनकी यह फिल्म ३० नवंबर को रिलीज होगी ।"
3 33 " सरकार की भूमिका अपनाते हुए झारखंड में माओवादी छापामारों का कहना है कि वे जल्द ही राज्य में पंचायत चुनाव कराएंगे ।"
3 34 " गौरतलब है कि झारखंड में पिछले २८ वर्षो से पंचायत चुनाव नहीं हुए हैं ।"
3 35 " माओवादियों ने यह निर्णय पिछले सप्ताह धनबाद में हुई अपनी सेंट्रल कमेटी की बैठक में लिया ।"
3 36 " माओवादियों से संबंध रखने वाले एक सूत्र ने बताया है कि माओवादी यह मानते हैं कि पंचायत चुनाव से ग्रामीण झारखंड में लोगों के बीच विभिन्न विवाद एवं मतभेद दूर होंगे ।"
3 37 " सूत्रों के अनुसार माओवादियों ने राज्य में विभिन्न चरणों में पंचायत चुनाव कराने का निर्णय लिया है , लेकिन यह केंद्रीय चुनाव आयोग द्वारा कराए जाने वाले किसी चुनाव के समान नहीं होगा ।"
3 38 " माओवादियों ने कहा है कि इस संबंध में विस्तृत जानकारी बाद में दी जाएगी ।"
3 39 " माओवादी - विरोधी अभियान में लगे झारखंड के एक वरिष्ठ पुलिस अधिकारी ने माओवादियों के इस निर्णय पर प्रतिक्रिया व्यक्त करते हुए कहा कि यह राज्य के गरीबों को माओवादियों द्वारा लुभाने का प्रयास है ।"
3 40 " माओवादियों के इस कदम को नाकाम करने के लिए राज्य सरकार को चाहिए कि वह राज्य में जल्द से जल्द पंचायत चुनाव कराए ।"
3 41 " गौरतलब है कि झारखंड नवंबर , २००० में बिहार से अलग हो गया था ।"
3 42 " इस क्षेत्र में पिछले २८ वर्षो से पंचायतों का गठन ही नहीं हुआ है ।"
3 43 " बिहार ने जहां २००१ में पंचायत चुनाव संपन्न कराए थे , लेकिन झारखंड में इस संबंध में कोई भी कदम नहीं उठाया गया था ।"
3 44 " अर्जुन मुंडा सरकार ने घोषणा की है कि वह इस वर्ष के अंत तक पंचायत चुनाव करा सकती है ।"
3 45 " झारखंड हाई कोर्ट ने भी राज्य में लंबे समय तक पंचायत चुनाव न कराए जाने के कारण अपनी नाराजगी व्यक्त की है ।"
3 46 " गौरतलब है कि राज्य में पंचायतों का गठन न होने के कारण केंद्र सरकार द्वारा पंचायतों को दिए जाने वाले प्रतिवर्ष ५ अरब के केंद्रीय अनुदान से भी झारखंड को हाथ धोना पड़ता है ।"
4 47 " देश की धार्मिक धार्मिक सामाजिक और राजनीतिक समस्याओं के लिए आरएसएस के सरसंघचालक केसी सुदर्शन ने रविवार को स्थानीय मिनी स्टेडियम में आयोजित स्वयंसेवक सम्मेलन में गांधी , नेहरू और जिन्ना को कटघरे में खड़ा किया ।"
4 48 " उन्होंने कहा कि कांग्रेस का १९२० के खिलाफत आंदोलन को समर्थन एक भूल थी ।"
4 49 " इससे मुसलमान राष्ट्रीय समाज पर हावी हो गए ।"
4 50 " उन्होंने आरोप लगाया कि डॉ. श्यामा प्रसाद मुखर्जी की हत्या में शेख अब्दुल्ला की हुकूमत का हाथ था ।"
4 51 " जेल में गलत दवाइयां देकर उनकी हत्या कराई गई ।"
4 52 " संघ प्रमुख ने एक बार फिर दोहराया कि संघ के संगठन अनेक हैं किंतु विचारधारा एक ही है ।"
4 53 " सुदर्शन ने कहा कि प्रथम विश्व युद्ध में अंग्रेजों द्वारा तुर्की के खलीफा को गद्दी से हटाना भारत के मुसलमानों को रास नहीं आया ।"
4 54 " महात्मा गांधी ने इसके खिलाफ देश में मुसलिम समाज द्वारा शुरू किए गए आंदोलन को समर्थन देने का फैसला किया ।"
4 55 " डॉ. हेडगेवार और पंडित मदन मोहन मालवीय ने विरोध करते हुए इसके नकारात्मक परिणामों से अवगत कराया ।"
4 56 " गांधी ने कहा था कि ऐसी कोई आशंका नहीं है ।"
4 57 " दो साल तक गांधी ने मौलाना मोहम्मद अली और मौलाना शौकत अली के साथ समूचे देश का दौरा करके आंदोलन को जारी रखा ।"
4 58 " पर देश में अंग्रेजों ने इस आंदोलन को कुचल दिया ।"
4 59 " इसका गुस्सा मालाबार के हिंदुओं पर निकला ।"
4 60 " खलीफा को गद्दी से उतारने पर खिलाफत आंदोलन की विफलता का गुस्सा मुसलमानों ने १९२३ के मालाबार दंगों में १५०० हिंदुओं के कत्ल और बीस हजार लोगों का धर्मपरिवर्तन कर निकाला ।"
4 61 " डॉ. श्यामा प्रसाद मुखर्जी के जम्मू कश्मीर में प्रवेश और पूर्व प्रधानमंत्री लाल बहादुर शास्त्री के ताशकंद दौरे से पूर्व ही संघ के दूसरे सरसंघचालक माधवराव सदाशिवाराव गोलवलकर ने इन नेताओं की हत्या की आशंका को लेकर आगाह कर दिया था ।"
4 62 " उन्होंने कहा कि बीस साल बाद फिर जिन्ना ने मुसलिम लीग के कार्यकर्ताओं को पाकिस्तान बनाने की मांग पर भड़काया ।"
4 63 " १९४० - ४७ के कालखंड में जिन्ना ने दंगे कराए ।"
4 64 " इन हालात में राष्ट्रीय समाज अथवा हिंदुओं को बचाने और बसाने का काम राष्ट्रीय स्वंयसेवक संघ के कार्यकर्ताओं ने किया ।"
4 65 " उस समय देश के नेता आजादी का जश्न मना रहे थे , पर संघ के कार्यकर्ता हिंदुओं की रक्षा में जुटे थे ।"
4 66 " कई स्वयंसेवकों का बलिदान इसका गवाह है ।"
4 67 " सुदर्शन ने कहा कि संघ बेशक देश को हिंदू राष्ट्र बनाने के लिए संघर्ष कर रहा है पर स्वतंत्रता आंदोलन में स्वयंसेवकों ने व्यक्तिगत तौर पर शामिल होकर संघर्ष किया था ।"
4 68 " गुरू जी ने ही स्वयंसेवकों को स्वतंत्रता आंदोलन में व्यक्तिगत तौर पर शामिल होने की आज्ञा दी थी ।"
4 69 " उन्होंने कहा कि हिंदू राष्ट्र का जो छोटा सा पौधा डॉ. हेडगेवार ने १९४० में रोपा था , आगामी विजयदशमी के अवसर पर यह अस्सी साल का हो जाएगा ।"
4 70 " इसमें संघ की चार पीढ़ियों का योगदान रहा है ।"
4 71 " उन्होंने डॉ. श्यामा प्रसाद मुखर्जी के सुझाव पर दीन दयाल उपाध्याय , कुशा भाऊ ठाकरे , सुंदर सिंह भंडारी , अटल बिहारी वाजपेयी और लाल कृष्ण आडवाणी जैसे लोग राजनीतिक क्षेत्र में दिए ।"
4 72 " जनता पार्टी के नेताओं द्वारा १९७७ में आरएसएस से रिश्ते तोड़ने की शर्त पर इन नेताओं ने भाजपा का गठन किया ।"
4 73 " सुदर्शन ने कहा कि हर संगठन स्वतंत्र है , पर विचारधारा से कोई समझौता नहीं किया जा सकता ।"
4 74 " सुदर्शन ने कहा कि गुरु गोलवलकर की सौवीं जयंती पर संघ शताब्दी वर्ष मनाएगा ।"
4 75 " उन्होंने कार्यकर्ताओं से कहा कि विदेशियों के सांस्कृतिक आक्रमण के प्रति सचेत रहें और संघ के कार्य को आगे बढ़ाएं ।"
5 76 " राष्ट्रीय जनता दल राजद सुप्रीमो लालू प्रसाद यादव के साले सुभाष यादव ने उन पर गलत टिकट वितरण का आरोप लगाते हुए विद्रोह कर दिया है ।"
5 77 " सुभाष पार्टी के राज्यसभा सांसद हैं ।"
5 78 " उन्होंने कहा कि पार्टी के वास्तविक कार्यकर्ताओं की कीमत पर घोटालेबाजों और गलत तत्वों को राजद का टिकट दिया जा रहा है ।"
5 79 " बिहार की सत्ता से पैदल हो चुके लालू अपने जीवन का सबसे मुश्किल राज्य विधानसभा चुनाव का सामना करने जा रहे हैं ।"
5 80 " उन्होंने कहा कि चारा घोटाले के अभियुक्त आर. के. राणा के पुत्र को टिकट देने का संकेत दिया गया है जबकि वास्तविक पार्टी कार्यकर्ताओं ने , जिन्होंने राजद को खड़ा किया है , उन्हें पार्टी टिकट देने से मना किया जा रहा है ।"
5 81 " सुभाष का आरोप है कि राजद अध्यक्ष राणा को इसलिए टिकट देना चाहते हैं , जिससे चारे घोटाले में वे सरकारी गवाह न बन सके ।"
5 82 " क्योंकि लालू उस मामले में खुद भी आरोप का सामना कर रहे हैं ।"
5 83 " लालू की पत्नी पूर्व मुख्यमंत्री राबड़ी देवी के सबसे छोटे भाई सुभाष ने राजद के वरिष्ठ नेता और पूर्व मंत्री जगदानंद सिंह पर आरोप लगाया कि वह पार्टी हितों के खिलाफ काम कर रहे हैं ।"
5 84 " राजद के राष्ट्रीय प्रवक्ता शिवानंद तिवारी का नाम लिए बिना सुभाष ने लालू की इस बात के लिए आलोचना की कि चुनाव चिन्ह उनके आवास पर भेजा गया ।"
5 85 " इसी तरह पटना के राजद सांसद रामकृपाल यादव पर आरोप लगाया कि वे भी पार्टी के दानापुर दानापुर बिक्रम और पालीगंज के अधिकृत प्रत्याशियों के खिलाफ काम कर रहे हैं ।"
5 86 " लालू के सबसे छोटे साले ने कहा कि जिन लोगों का पार्टी की मजबूती में बहुत कम योगदान है , उन्हें तो टिकट से नवाजा जा रहा है लेकिन असली पार्टी कार्यकर्ता भीड़ का हिस्सा बनकर १ , अणे मार्ग पर इंतजार करते रहते हैं ।"
5 87 " उन्होंने इस बात का दृढ़ता से खंडन किया कि अपनी पत्नी रेणु देवी का टिकट कटने से उन्होंने विद्रोह किया है ।"
5 88 " सुभाष ने कहा कि वे दौड़ में शामिल नहीं हैं ।"
6 89 " भारत में मोस्ट वांटेड अपराधी और कथित तौर पर पाकिस्तान में रह रहे अंडरवर्ल्ड डॉन दाऊद इब्राहिम पर अंतर्राष्ट्रीय स्तर पर शिकंजा कसा जा रहा है ।"
6 90 " इंटरपोल ने उसके खिलाफ एक एक विशेष अंतर्राष्ट्रीय नोटिस जारी करने का फैसला किया है ।"
6 91 " यह नोटिस उन अपराधियों के खिलाफ जारी किया जाता है , जो अल - कायदा और तालिबान से संबंधों की वजह से संयुक्त राष्ट्र द्वारा वांछित हैं ।"
6 92 " इस नोटिस के जारी होने पर दाऊद के १८४ देशों में प्रवेश करने पर प्रतिबंध लग जाएगा ।"
6 93 " ये सभी देश अब उसकी संपत्ति जब्त कर सकेंगे ।"
6 94 " दाऊद के खिलाफ पहले ही रेड कॉर्नर नोटिस जारी किया जा चुका है ।"
6 95 " उसे अमरीका भी अपनी आतंकवादी सूची में डाल चुका है ।"
6 96 " आधिकारिक सूत्रों ने यहां बताया कि इंटरपोल की महासभा ने पिछले सप्ताह बर्लिन में एक प्रस्ताव पारित कर अल कायदा और तालिबान से जुड़े लोगों के खिलाफ एक विशेष अंतर्राष्ट्रीय नोटिस जारी करने का फैसला लिया ।"
6 97 " इस बैठक में भारत ने भी शिरकत की ।"
6 98 " यह नोटिस सभी १८४ सदस्य देशों को भेजा जाएगा ।"
6 99 " इन देशों में पाकिस्तान भी शामिल है ।"
6 100 " इसके चलते पाकिस्तान पर राजनीतिक दबाव बढ़ेगा कि वह अपने देश में फर्जी नाम से छिपे दाऊद को बाहर निकाले ।"
6 101 " इसके अलावा , दाऊद के फर्जी पासपोर्ट और नकली दस्तावेजों के आधार पर एक देश से दूसरे देश जाने पर भी अंकुश लगेगा ।"
6 102 " संयुक्त राष्ट्र के प्रस्ताव १२६७ के तहत जारी आतंकियों की सूची में दाऊद का नाम शामिल किया गया है ।"
6 103 " १९९३ के मुंबई बम विस्फोटों के जिम्मेदार दाऊद को संयुक्त राष्ट्र की इस सूची में भारतीय नागरिक बताया गया है ।"
6 104 " जिसमें उसका जन्म स्थान महाराष्ट्र का रत्नागिरी दर्ज है व उसके पास भारतीय पासपोर्ट ए - ३३३६०२३३३६०२ है ।"
6 105 " भारत का मानना है कि दाऊद पाकिस्तान के कराची शहर में रह रहा है और वहीं से अपनी आतंकी गतिविधियों को अंजाम दे रहा है ।"
6 106 " इसके अलावा उसका आना - जाना दुबई में भी लगा रहता है ।"
6 107 " दाऊद को अमेरिका ने २००३ में विशेष दर्जे वाला वैश्विक आतंकवादी करार दिया है ।"
6 108 " इसके बाद ही अमेरिका ने उसकी संपत्ति जब्त कराने के लिए संयुक्त राष्ट्र में दस्तक दी है ।"
6 109 " इंटरपोल की ओर दाऊद के खिलाफ यह नया नोटिस जारी करने के बाद पाकिस्तान की मुसीबत बढ़ सकती है ।"
7 110 " राजद के वरिष्ठ नेता एवं केंद्रीय मंत्री रघुवंश प्रसाद सिंह ने आरोप लगाया है कि लोजपा के विधायकों को पाला बदलने के लिए तीन करोड़ रुपये , मंत्री पद और उनकी पत्नियों को विधान परिषद सदस्यता का लालच दिया गया था ।"
7 111 " उन्होंने कहा कि राजग ने बिहार में सरकार बनाने के लिए बहुत घटिया खेल खेला ।"
7 112 " ग्रामीण विकास विभाग के राज्य सचिवों के सम्मेलन के मौके पर प्रसाद ने बुधवार को पत्रकारों से कहा कि राजग ने लोकतंत्र को चोट पहुंचाने में कोई कसर नहीं छोड़ी ।"
7 113 " बिहार विधानसभा भंग करने को उन्होंने देर से लिया गया सही फैसला बताया ।"
7 114 " उन्होंने कहा कि विधायकों की खरीद - फरोख्त रोकने के लिए सदन को भंग करने के अलावा और कोई विकल्प नहीं था ।"
7 115 " विधायकों की खरीद - फरोख्त के गंदे खेल में शामिल होने के लिए भाजपा नेतृत्व वाले राजग की आलोचना करते हुए प्रसाद ने कहा कि चुनाव में सबसे बड़ी पार्टी के रूप में उभरने के बाद राजद ने सरकार बनाने का दावा पेश किया था ।"
7 116 " जबकि राजग ने दावा पेश करने के बजाय राज्यपाल से लालू प्रसाद को सरकार बनाने के लिए आमंत्रित न करने की मांग की ।"
7 117 " प्रसाद ने कहा कि झारखंड में राजग ने विधायकों का अपहरण कर उन्हें राजस्थान में रखा था , जबकि बिहार में उनका अपहरण कर झारखंड ले जाया गया ।"
7 118 " चुनावों की तारीख के बारे में उन्होंने कहा कि इस बारे में फैसला चुनाव आयोग का विशेषाधिकार है ।"
7 119 " चुनावों से पहले सियासी ताकतों के संभावित ध्रुवीकरण के बारे में उन्होंने सवाल टालते हुए कहा कि चुनावों से पहले पूर्ण गठबंधन हो जाएगा ।"
7 120 " लोजपा के साथ चुनावी गठजोड़ के बारे में प्रसाद ने कहा कि पासवान हो या नहीं , हम राजग को खत्म कर देंगे ।"
8 121 " दक्षिण एशियाई क्षेत्रीय सहयोग संगठन ( सार्क ) सम्मेलन का आयोजन ढाका में मई के अंतिम सप्ताह या जून के पहले सप्ताह में होने की संभावना है ।"
8 122 " भारत ने इस अवधि के दौरान इसमें शामिल होने की इच्छा व्यक्त की है ।"
8 123 " उधर , पाकिस्तान ने सोमवार को कहा कि दो बार स्थगित हो चुके इस सम्मेलन की तारीख तय करने के लिए उसने सार्क देशों से परामर्श शुरू कर दिया है ।"
8 124 " सरकारी सूत्रों के मुताबिक भारत सरकार ने बंगलादेश को संवाद भेजा है कि प्रधानमंत्री मनमोहन सिंह १३ मई को संसद सत्र के समापन के बाद सम्मेलन में शिरकत कर सकते हैं ।"
8 125 " उन्होंने कहा , इस बात पर भी सहमति है कि जून के दूसरे सप्ताह में बांग्लादेश में मानसून शुरू होने से पहले सम्मेलन का आयोजन किया जाए ।"
8 126 " सूत्रों ने बताया कि इसके लिए सबसे अधिक संभावित समय मई का अंतिम सप्ताह या जून का पहला सप्ताह हो सकता है ।"
8 127 " उन्होंने बताया कि अगर इस दौरान सम्मेलन आयोजित नहीं हुआ तो इसमें काफी देरी हो सकती है ।"
8 128 " सूत्रों ने बताया कि बंगलादेश में कानून - व्यवस्था की हालत में सुधार हुआ है ।"
8 129 " इसी वजह से भारत ने सम्मेलन में शामिल होने का फैसला किया है ।"
8 130 " उधर , पाकिस्तान के विदेश विभाग के प्रवक्ता जलील अब्बास जिलानी ने आज बताया , हमें सम्मेलन में शामिल होने के लिए भारत के तैयार होने की जानकारी है ।"
8 131 " उन्होंने कहा , हम नई तारीख तय करने के लिए बंगलादेश और सार्क देशों के संपर्क में हैं और जल्दी ही इसके तय होने की उम्मीद है ।"
8 132 " गौरतलब है कि श्री लंका , नेपाल , भूटान और मालदीव सहित सात देशों के इस क्षेत्रीय समूह का अध्यक्ष अभी पाकिस्तान है ।"
8 133 " २६ दिसंबर को सुनामी हादसे के बाद जनवरी में आयोजित होने वाला यह सम्मेलन स्थगित हो गया था ।"
8 134 " इसके बाद नेपाल में राजशाही द्वारा आपातकाल लगाने और बंगलादेश में सुरक्षा की हालत खराब होने के कारण भारत ने फरवरी में इसमें शामिल होने से इनकार कर दिया था ।"
8 135 " सार्क चार्टर के मुताबिक इसके सभी सात सदस्य देशों के प्रमुख या सरकार के उपस्थित होने पर ही सम्मेलन का आयोजन हो सकता है ।"
9 136 " कश्मीर पर केंद्र के वार्ताकार एन. एन. वोहरा ने अपने पद से इस्तीफा दे दिया है ।"
9 137 " सूत्रों ने बताया कि वोहरा ने अपना इस्तीफा नई सरकार के शपथ ग्रहण करने के एक दिन बाद प्रधानमंत्री मनमोहन सिंह को सौंप दिया था ।"
9 138 " वोहरा ने मंगलवार को प्रधानमंत्री मनमोहन सिंह से मुलाकात कर उन्हें हुर्रियत कांफ्रेंस समेत राज्य के विभिन्न अलगाववादी समूहों से बातचीत की जानकारी दी ।"
9 139 " कश्मीर समस्या के हल के लिए साहसिक और गंभीर कोशिशों को जरूरी बताते हुए माकपा की राज्य ईकाई ने मंगलवार को केंद्र में कांग्रेस नेतृत्व वाले यूनाइटेड प्रोग्रेसिव अलायंस ( यूपीए ) से न्यूनतम साझा कार्यक्रम में पाकिस्तान के साथ वार्ता प्रक्रिया जारी रखने और अलगाववादियों को शामिल करने का प्रस्ताव रखा है ।"
9 140 " हुर्रियत कांफ्रेंस ने नए गृह मंत्री शिवराज पाटिल के कश्मीर में अलगाववादियों के साथ वार्ता जारी रखने के बयान का स्वागत करते हुए उम्मीद जताई है कि कांग्रेस नेतृत्व वाली यूपीए सरकार राजग सरकार के साथ वार्ता के नतीजों का सम्मान करेगी ।"
9 141 " सूत्रों ने बताया कि वोहरा ने राजग सरकार की ओर से उनकी नियुक्ति किए जाने की वजह से पद से इस्तीफा दिया है ।"
9 142 " हालांकि कांग्रेस नेतृत्व वाली यूपीए सरकार को अभी तय करना बाकी है कि वार्ता प्रक्रिया जारी रखने के लिए वोहरा को पद पर बनाए रखा जाए या फिर उनके स्थान पर किसी और को लाया जाए ।"
9 143 " वोहरा ने मंगलवार को प्रधानमंत्री मनमोहन सिंह से मुलाकात कर उन्हें हुर्रियत कांफ्रेंस समेत राज्य के विभिन्न अलगाववादी संगठनों के साथ उनकी वार्ता की जानकारी दी ।"
9 144 " वहीं वहीं जम्मू - कश्मीर में माकपा की राज्य ईकाई के सचिव एम. वाई. तारीगामी ने पत्रकारों से कहा कि हम यूपीए सरकार से न्यूनतम साझा कार्यक्रम में पाकिस्तान और कश्मीर के सभी संगठनों के साथ वार्ता को शामिल करने की अपील करते हैं ।"
9 145 " उन्होंने कहा कि राज्य में खूनखराबा रोकने के लिए राजनीतिक स्तर पर पाकिस्तान के साथ वार्ता शुरू करने और वार्ता में कश्मीर के विभिन्न विचारधाराओं वाले दलों को शामिल करने जैसे साहसिक कदम उठाने की जरूरत है ।"
9 146 " उन्होंने कहा कि प्रधानमंत्री मनमोहन सिंह और राष्ट्रपति परवेज मुशर्रफ या विदेश सचिवों के बीच बैठक जैसे साहसिक कदमों के जरिए संबंधों को मजबूती देने की जरूरत है ।"
9 147 " मौलाना अब्बास अंसारी के नेतृत्व वाले हुर्रियत कांफ्रेंस ने नए गृह मंत्री शिवराज पाटिल के कश्मीर में अलगाववादियों के साथ वार्ता जारी रखने के बयान का स्वागत किया है ।"
9 148 " संगठन ने उम्मीद जताई है कि नई सरकार राजग सरकार के साथ वार्ता के नतीजों का सम्मान करेगी ।"
